time	band	mag	mag_limit	dmag	mag_unit	instrument	time_unit	time_frame	mag_type	extinction_corrected	dtime	reference
0.176	i	17.725	0	0.01	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.184	i	17.76	0	0.008	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.197	i	17.724	0	0.021	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.2	i	17.851	0	0.017	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.206	i	17.896	0	0.011	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.214	i	17.931	0	0.011	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.22	i	17.938	0	0.012	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.228	i	17.977	0	0.009	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.238	i	17.905	0	0.044	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.24	i	17.95	0	0.024	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.244	i	18.018	0	0.019	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.25	i	18.094	0	0.012	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.258	i	18.11	0	0.013	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.571	i	19.058	0	0.017	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.575	i	19.044	0	0.015	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.579	i	19.078	0	0.014	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.614	i	19.092	0	0.02	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.618	i	19.064	0	0.015	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.621	i	19.073	0	0.013	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.676	i	19.233	0	0.014	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.679	i	19.192	0	0.012	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.683	i	19.202	0	0.014	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.751	i	19.359	0	0.014	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.754	i	19.364	0	0.014	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
0.758	i	19.41	0	0.017	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.615	i	20.411	0	0.02	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.654	i	20.502	0	0.069	AB	BTA-6	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
1.822	i	20.606	0	0.02	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
2.593	i	21.07	0	0.041	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
4.728	i	21.921	0	0.094	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
5.263	i	22.085	0	0.028	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
11.005	i	22.411	0	0.071	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
18.972	i	22.338	0	0.076	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
22.783	i	22.533	0	0.108	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
25.705	i	22.331	0	0.05	AB	WHT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
27.106	i	22.378	0	0.071	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
27.747	i	22.433	0	0.056	AB	LT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
29.085	i	22.451	0	0.014	AB	Gemini (N)	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
41.045	i	22.632	0	0.02	AB	Gemini (N)	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
53.998	i	22.793	0	0.02	AB	Gemini (N)	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
60.662	i	22.881	0	0.07	AB	WHT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
63.499	i	22.955	0	0.045	AB	FTN	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
99.554	i	23.105	0	0.041	AB	INT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
354.793	i	23.222	0	0.059	AB	WHT	days	observer	apparent	True		https://ui.adsabs.harvard.edu/abs/2011MNRAS.413..669C/abstract
